연도,순위,팀명,경기,승,패,승률,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate,pit_ERA,pit_WHIP,bat_OPS,bat_R
2022,1,SSG,144,88,52,0.629,0.254,720,1245,138,682,1937,5642,4893,0.336,0.396,0.732,530,1075,3.87,1.29,622,560,130,457,1023,1301.3333333333333,109,0.98,138,4,107,31,22.5,137,98,39,71.5,42,4,98,0.572637978800023,2.238512035010941,0.142,0.0939383197447713,3.87,1.29,0.732,720
2022,2,키움,144,80,62,0.563,0.252,621,1250,94,578,1801,5655,4953,0.333,0.364,0.697,527,1032,3.79,1.34,610,546,96,490,1010,1296.3333333333333,118,0.979,134,7,85,42,33.1,83,63,20,75.9,42,8,11,0.5089351110735726,2.061224489795918,0.1119999999999999,0.0931918656056587,3.79,1.34,0.697,621
2022,3,LG,144,87,55,0.613,0.269,715,1325,118,674,1953,5627,4927,0.346,0.396,0.742,501,924,3.33,1.27,521,476,94,451,1031,1288.0,89,0.983,139,7,113,26,18.7,148,102,46,68.9,46,10,194,0.6531841168518883,2.286031042128603,0.127,0.0890350097743024,3.33,1.27,0.742,715
2022,4,KT,144,80,62,0.563,0.254,631,1237,119,588,1824,5547,4864,0.33,0.375,0.705,519,1183,3.51,1.25,562,502,92,364,1074,1287.3333333333333,97,0.982,132,8,69,26,27.4,123,89,34,72.4,38,6,69,0.5576445543098437,2.9505494505494507,0.121,0.0935640886965927,3.51,1.25,0.705,631
2022,5,KIA,144,70,73,0.49,0.272,720,1361,113,677,1988,5703,5000,0.349,0.398,0.747,542,983,4.2,1.42,679,597,120,526,1042,1279.6666666666667,107,0.98,111,8,64,41,39.0,137,103,34,75.2,57,5,41,0.529281498324044,1.9809885931558933,0.126,0.0950376994564264,4.2,1.42,0.747,720
2022,6,NC,144,67,74,0.475,0.257,646,1260,105,613,1835,5585,4899,0.334,0.375,0.709,501,981,3.9,1.36,642,557,111,515,1168,1286.6666666666667,127,0.976,115,9,60,42,41.2,139,100,39,71.9,56,7,4,0.5031055601099484,2.267961165048544,0.118,0.0897045658012533,3.9,1.36,0.709,646
2022,7,삼성,144,66,76,0.465,0.27,663,1358,103,627,1946,5647,5023,0.334,0.387,0.721,446,1029,4.29,1.44,695,613,129,478,971,1287.0,118,0.978,125,6,51,35,40.7,118,91,27,77.1,50,6,-32,0.476449012241571,2.0313807531380754,0.1169999999999999,0.0789799893748893,4.29,1.44,0.721,663
2022,8,롯데,144,64,76,0.457,0.267,605,1320,106,570,1897,5534,4948,0.328,0.383,0.711,417,991,4.45,1.46,712,633,84,492,1199,1280.6666666666667,114,0.979,124,11,99,39,28.3,100,61,39,61.0,54,6,-107,0.4192875119276859,2.436991869918699,0.1159999999999999,0.0753523671846765,4.45,1.46,0.711,605
2022,9,두산,144,60,82,0.423,0.255,638,1249,101,592,1786,5510,4891,0.324,0.365,0.689,450,1007,4.45,1.48,721,632,117,555,977,1279.3333333333333,117,0.978,128,13,95,34,26.4,130,90,40,69.2,55,4,-83,0.4391526456895947,1.7603603603603604,0.1099999999999999,0.0816696914700544,4.45,1.48,0.689,638
2022,10,한화,144,46,96,0.324,0.245,564,1196,88,520,1715,5513,4878,0.319,0.352,0.671,497,1264,4.83,1.51,759,680,112,602,974,1268.3333333333333,134,0.975,111,8,121,51,29.7,142,93,49,65.5,49,6,-195,0.3557416484655722,1.6179401993355482,0.1069999999999999,0.0901505532378015,4.83,1.51,0.671,564
2023,1,LG,144,86,56,0.606,0.279,767,1364,93,714,1924,5687,4881,0.361,0.394,0.755,583,804,3.67,1.36,610,527,74,491,977,1293.3333333333333,128,0.976,131,10,115,30,20.7,267,166,101,62.2,78,15,157,0.6125528301552808,1.989816700610998,0.1149999999999999,0.1025145067698259,3.67,1.36,0.755,767
2023,2,KT,144,79,62,0.56,0.265,672,1316,89,621,1846,5649,4973,0.338,0.371,0.709,524,1074,3.94,1.35,616,564,83,413,968,1287.0,99,0.981,117,3,111,23,17.2,117,87,30,74.4,54,5,56,0.5433962264150943,2.343825665859564,0.1059999999999999,0.0927597804921225,3.94,1.35,0.709,672
2023,3,SSG,144,76,65,0.539,0.26,658,1279,125,611,1915,5630,4923,0.336,0.389,0.725,507,943,4.37,1.53,698,626,104,612,974,1288.3333333333333,119,0.978,163,11,127,56,30.6,124,96,28,77.4,43,10,-40,0.4705271211344015,1.591503267973856,0.129,0.0900532859680284,4.37,1.53,0.725,658
2023,4,NC,144,75,67,0.528,0.27,679,1321,98,642,1894,5606,4895,0.345,0.387,0.732,493,1005,3.83,1.31,617,545,99,513,1090,1281.3333333333333,130,0.976,126,7,96,42,30.4,157,111,46,70.7,53,8,62,0.5477302698014803,2.124756335282651,0.1169999999999999,0.0879414912593649,3.83,1.31,0.732,679
2023,5,두산,144,74,68,0.521,0.255,620,1238,100,565,1812,5538,4859,0.332,0.373,0.705,505,975,3.92,1.36,625,560,90,501,1013,1284.6666666666667,114,0.978,108,12,60,40,40.0,181,133,48,73.5,52,11,-5,0.4959840005161124,2.021956087824351,0.118,0.0911881545684362,3.92,1.36,0.705,620
2023,6,KIA,144,73,69,0.514,0.276,726,1365,101,673,1934,5607,4954,0.345,0.39,0.735,500,957,4.13,1.42,650,583,89,564,980,1269.0,102,0.981,137,12,98,35,26.3,156,122,34,78.2,41,6,76,0.5550645761897942,1.7375886524822697,0.1139999999999999,0.0891742464776172,4.13,1.42,0.735,726
2023,7,롯데,144,68,76,0.472,0.265,653,1289,69,608,1765,5576,4871,0.338,0.362,0.7,522,1000,4.15,1.46,660,586,80,532,1070,1272.3333333333333,103,0.981,111,13,91,46,33.6,143,101,42,70.6,42,12,-7,0.4946688491651479,2.011278195488722,0.0969999999999999,0.0936154949784792,4.15,1.46,0.7,653
2023,8,삼성,144,61,82,0.427,0.263,636,1290,88,603,1808,5581,4912,0.334,0.368,0.702,487,954,4.6,1.47,728,654,120,464,899,1278.3333333333333,103,0.981,111,6,86,32,27.1,138,103,35,74.6,56,10,-92,0.4328567759609622,1.9375,0.1049999999999999,0.0872603476079555,4.6,1.47,0.702,636
2023,9,한화,144,58,80,0.42,0.241,604,1184,100,568,1719,5628,4906,0.324,0.35,0.674,535,1162,4.38,1.4,708,628,101,518,1037,1291.6666666666667,109,0.98,106,10,94,48,33.8,89,67,22,75.3,35,7,-104,0.4212266765194901,2.001930501930502,0.1089999999999999,0.0950604122245913,4.38,1.4,0.674,604
2023,10,키움,144,58,83,0.411,0.261,607,1323,61,576,1789,5729,5062,0.331,0.353,0.684,484,1096,4.42,1.45,710,632,84,532,962,1288.3333333333333,114,0.979,125,9,129,45,25.9,65,54,11,83.1,37,7,-103,0.422267402747582,1.8082706766917291,0.0919999999999999,0.0844824576714959,4.42,1.45,0.684,607
2024,1,KIA,144,87,55,0.613,0.301,858,1542,163,812,2353,5812,5124,0.369,0.459,0.828,529,915,4.4,1.48,759,629,141,539,1125,1288.0,146,0.973,133,10,108,31,22.3,169,125,44,74.0,45,4,99,0.5609958506224066,2.0871985157699444,0.158,0.0910185822436338,4.4,1.48,0.828,858
2024,2,삼성,144,78,64,0.549,0.269,770,1336,185,734,2129,5697,4975,0.346,0.428,0.774,531,1150,4.68,1.45,719,667,164,477,980,1282.6666666666667,81,0.984,105,8,114,50,30.5,142,113,29,79.6,39,4,51,0.5342110408420514,2.0545073375262053,0.1589999999999999,0.0932069510268562,4.68,1.45,0.774,770
2024,3,LG,144,76,66,0.535,0.283,808,1394,115,765,2035,5725,4919,0.366,0.414,0.78,616,969,4.63,1.49,728,657,126,529,1082,1277.0,102,0.981,135,10,126,40,24.1,250,171,79,68.4,61,12,80,0.5519424304728926,2.045368620037807,0.131,0.1075982532751091,4.63,1.49,0.78,808
2024,4,두산,144,74,68,0.521,0.276,789,1375,150,743,2110,5680,4975,0.35,0.424,0.774,510,1077,4.82,1.49,748,688,135,585,1083,1283.6666666666667,84,0.984,109,15,97,28,22.4,234,184,50,78.6,56,4,41,0.5266563735961591,1.8512820512820516,0.1479999999999999,0.0897887323943662,4.82,1.49,0.774,789
2024,5,KT,144,72,70,0.507,0.279,767,1413,145,722,2114,5808,5072,0.355,0.417,0.772,580,1123,5.11,1.47,804,729,155,443,1118,1284.3333333333333,116,0.978,110,14,142,38,21.1,88,61,27,69.3,37,4,-37,0.4764611789860736,2.523702031602709,0.1379999999999999,0.099862258953168,5.11,1.47,0.772,767
2024,6,SSG,144,72,70,0.507,0.273,756,1367,152,724,2102,5647,5001,0.342,0.42,0.762,470,1095,5.25,1.55,814,740,163,630,1195,1269.6666666666667,119,0.977,123,11,119,40,25.2,188,149,39,79.3,32,3,-58,0.4631076740575562,1.8968253968253967,0.1469999999999999,0.0832300336461838,5.25,1.55,0.762,756
2024,7,롯데,144,66,74,0.471,0.285,802,1454,125,757,2196,5766,5110,0.352,0.43,0.782,494,1079,5.05,1.53,791,719,139,523,1131,1280.6666666666667,123,0.977,143,3,89,36,28.8,147,105,42,71.4,54,13,11,0.5069048810569909,2.1625239005736137,0.145,0.0856746444675685,5.05,1.53,0.782,802
2024,8,한화,144,66,76,0.465,0.27,745,1351,127,698,1992,5702,5005,0.347,0.398,0.745,530,1077,4.98,1.53,780,706,128,511,1130,1274.6666666666667,105,0.98,132,12,110,43,28.1,110,69,41,62.7,44,7,-35,0.4770612630809893,2.2113502935420746,0.128,0.0929498421606453,4.98,1.53,0.745,745
2024,9,NC,144,61,81,0.43,0.274,773,1371,172,737,2143,5757,5009,0.353,0.428,0.781,513,1200,5.0,1.51,801,708,137,531,1061,1275.6666666666667,108,0.979,115,8,86,51,37.2,137,104,33,75.9,47,10,-28,0.4822165551637035,1.9981167608286248,0.1539999999999999,0.0891089108910891,5.0,1.51,0.781,773
2024,10,키움,144,58,86,0.403,0.264,672,1326,104,641,1908,5671,5015,0.337,0.38,0.717,492,1141,5.16,1.5,796,729,150,497,921,1272.6666666666667,104,0.98,129,10,117,40,25.5,84,71,13,84.5,33,3,-124,0.4161297456690011,1.8531187122736417,0.1159999999999999,0.0867571856815376,5.16,1.5,0.717,672
2025,1,LG,144,85,56,0.603,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667,3.79,1.35,0.77,788
2025,2,한화,144,83,57,0.593,0.266,689,1303,116,643,1933,5547,4892,0.335,0.395,0.73,439,1038,3.55,1.27,554,509,102,450,1339,1290.3333333333333,86,0.984,100,11,96,39,28.9,139,101,38,72.7,50,15,135,0.6073420270534788,2.975555555555556,0.129,0.079141878492879,3.55,1.27,0.73,689
2025,3,SSG,144,75,65,0.536,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.0893601595069784,3.63,1.3,0.706,609
2025,4,삼성,144,74,68,0.521,0.271,775,1330,161,728,2090,5671,4899,0.353,0.427,0.78,564,1087,4.12,1.35,647,581,132,455,1048,1268.6666666666667,87,0.984,122,12,107,26,19.5,130,98,32,75.4,53,3,128,0.5892905848902215,2.303296703296703,0.1559999999999999,0.099453359195909,4.12,1.35,0.78,775
2025,5,NC,144,71,67,0.514,0.26,732,1254,128,685,1921,5570,4816,0.344,0.399,0.743,504,1090,4.82,1.5,766,680,146,621,1075,1270.0,116,0.978,119,7,80,36,31.0,250,186,64,74.4,45,14,-34,0.4773147570774466,1.7310789049919484,0.139,0.0904847396768402,4.82,1.5,0.743,732
2025,6,KT,144,71,68,0.511,0.253,648,1228,104,613,1788,5588,4845,0.337,0.369,0.706,555,1044,4.09,1.4,657,581,112,433,1067,1278.3333333333333,103,0.981,105,6,128,32,20.0,72,48,24,66.7,40,9,-9,0.4931037762769903,2.464203233256351,0.1159999999999999,0.0993199713672154,4.09,1.4,0.706,648
2025,7,롯데,144,66,72,0.478,0.267,676,1318,75,629,1837,5682,4944,0.346,0.372,0.718,530,1030,4.75,1.49,749,676,128,560,1173,1280.0,111,0.979,117,13,104,23,18.1,119,91,28,76.5,51,2,-73,0.4489060165406487,2.094642857142857,0.1049999999999999,0.0932770151355156,4.75,1.49,0.718,676
2025,8,KIA,144,65,75,0.464,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,4.66,1.43,0.734,668
2025,9,두산,144,61,77,0.442,0.262,647,1298,102,592,1898,5581,4952,0.331,0.383,0.714,469,1169,4.3,1.38,686,612,109,542,1054,1280.0,120,0.977,123,12,103,43,29.5,187,144,43,77.0,58,8,-39,0.4707677082337593,1.944649446494465,0.121,0.0840351191542734,4.3,1.38,0.714,647
2025,10,키움,144,47,93,0.336,0.244,581,1202,104,540,1771,5508,4935,0.312,0.359,0.671,439,1221,5.39,1.57,860,760,146,550,937,1269.0,119,0.977,111,13,107,53,33.1,98,83,15,84.7,38,5,-279,0.3133802653456632,1.7036363636363636,0.1149999999999999,0.0797022512708787,5.39,1.57,0.671,581
2026,1,KT,25,17,8,0.68,0.282,152,247,22,143,367,1020,877,0.368,0.418,0.786,113,187,3.8,1.38,105,95,18,78,201,225.0,18,0.981,28,0,26,6,18.8,16,9,7,56.3,6,0,47,0.6769609423071289,2.576923076923077,0.136,0.1107843137254901,3.8,1.38,0.786,152
2026,2,LG,24,16,8,0.667,0.271,110,216,13,107,293,953,798,0.37,0.367,0.737,116,161,3.44,1.33,88,82,17,76,169,214.33333333333331,14,0.984,18,0,18,8,30.8,28,21,7,75.0,13,1,22,0.6097560975609756,2.223684210526316,0.0959999999999999,0.1217208814270724,3.44,1.33,0.737,110
2026,3,SSG,24,15,9,0.625,0.265,129,217,26,120,344,953,818,0.357,0.421,0.778,108,183,4.18,1.46,116,99,21,109,181,213.0,21,0.977,26,2,11,5,31.3,26,22,4,84.6,6,0,13,0.5529122503904044,1.6605504587155964,0.1559999999999999,0.1133263378803777,4.18,1.46,0.778,129
2026,4,삼성,24,12,11,0.522,0.269,121,226,18,113,337,982,839,0.368,0.402,0.77,120,171,4.25,1.44,107,101,22,98,161,214.0,12,0.987,21,3,19,6,24.0,20,14,6,70.0,4,2,14,0.5611728631659639,1.6428571428571428,0.133,0.1221995926680244,4.25,1.44,0.77,121
2026,5,KIA,25,12,12,0.5,0.261,122,219,21,118,328,985,840,0.35,0.39,0.74,110,185,4.5,1.39,120,111,24,97,181,222.0,15,0.983,14,2,20,4,16.7,14,11,3,78.6,4,2,2,0.508263898374539,1.865979381443299,0.129,0.1116751269035533,4.5,1.39,0.74,122
2026,6,NC,24,11,13,0.458,0.258,111,209,23,101,315,938,811,0.35,0.388,0.738,91,182,4.18,1.3,105,97,23,100,166,209.0,15,0.983,18,1,11,4,26.7,42,34,8,81.0,9,1,6,0.5277563608326908,1.66,0.13,0.0970149253731343,4.18,1.3,0.738,111
2026,7,두산,25,10,14,0.417,0.251,110,213,20,102,322,983,850,0.33,0.379,0.709,88,188,4.52,1.53,130,112,17,110,209,223.0,17,0.981,21,1,14,1,6.7,24,19,5,79.2,3,1,-20,0.4172413793103448,1.9,0.128,0.0895218718209562,4.52,1.53,0.709,110
2026,7,한화,24,10,14,0.417,0.261,138,222,21,129,327,974,849,0.344,0.385,0.729,95,189,5.23,1.67,144,125,16,122,190,215.0,26,0.971,31,2,10,5,33.3,20,13,7,65.0,4,2,-6,0.4787330316742081,1.5573770491803278,0.124,0.0975359342915811,5.23,1.67,0.729,138
2026,9,키움,25,10,15,0.4,0.239,86,198,12,79,280,941,830,0.314,0.337,0.651,75,204,4.4,1.55,118,107,21,89,180,218.66666666666663,24,0.973,21,0,16,4,20.0,8,7,1,87.5,6,0,-32,0.3469043151969981,2.02247191011236,0.098,0.079702444208289,4.4,1.55,0.651,86
2026,10,롯데,24,7,16,0.304,0.241,73,197,20,69,294,902,818,0.3,0.359,0.659,68,188,4.6,1.48,119,108,17,105,200,211.33333333333331,15,0.983,15,1,18,9,33.3,20,16,4,80.0,12,0,-46,0.2734222678296562,1.9047619047619049,0.118,0.0753880266075388,4.6,1.48,0.659,73
